Month,Date,Cash & Emergency Fund,Global Equity,PH Equity (FMETF),MP2 / Bonds,Other Assets,Total Assets,Total Debt,Net Worth,Monthly Income,Monthly Expenses,Saved / Invested,Savings Rate %,Notes
0,2026-08-31,10000,0,0,0,0,10000,200000,-190000,35000,30000,0,0%,Baseline. PHP 10k parked in digital bank as starter emergency fund.
1,,,,,,,,,,,,,,Phase 1: niche chosen; portfolio + profiles live; first pitches sent.
2,,,,,,,,,,,,,,First international client(s) landed.
3,,,,,,,,,,,,,,Income target ~PHP 100k. Begin debt avalanche.
4,,,,,,,,,,,,,,Income target ~PHP 137k.
5,,,,,,,,,,,,,,Debt avalanche in full swing (~PHP 70k/month).
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,Target: debt-free. Net worth crosses PHP 0.
9,,,,,,,,,,,,,,Redirect PHP 70k/month stream into emergency fund then investing.
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,Year 1 review. Full 6-month emergency fund (~PHP 150k) building.
15,,,,,,,,,,,,,,Portfolio DCA running: 55% global / 15% PH / 20% MP2 / 10% cash.
18,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,Year 2 review. Consider Phase 4 (agency or micro-SaaS).
30,,,,,,,,,,,,,,Target zone: net worth approaching PHP 1M (1000000).
36,,,,,,,,,,,,,,Year 3 review.
